X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Gas.Volume Fraction.Trnavg, kla [ s^-1 ], Liquid.Velocity.Trnavg Axial [ m s^-1 ], Liquid.Velocity.Trnavg Radial [ m s^-1 ], Ostar [ kg m^-3 ], Radius [ m ]
-0.292526484,0.334837496,0.292526513,0.00301603507,0.148404196,0.116483085,0.330262691,-0.138149649,0.0203962643,0.414044589
-0.303124934,0.334991693,0.303124934,0.000379551522,0.145122424,0.114809066,0.32984066,-0.166812494,0.0204474982,0.429518789
-0.617497146,0.336394489,0.617497146,0.00436409749,0.16940096,0.116358377,-0.271107405,-0.134977341,0.0215163752,0.875374079
-0.304293811,0.341017634,0.304293811,0.00150318863,0.14705345,0.116792515,0.336980492,-0.168816581,0.0204450134,0.430790812
0.372867107,0.341100454,-0.372867137,0.00115591928,0.148489937,0.11831364,0.203856066,-0.278176814,0.0206449907,0.528262377
-0.434221685,0.341553003,0.434221685,0.00241279602,0.149756655,0.115507163,0.107486479,-0.277164191,0.0210607778,0.615311146
0.628598094,0.34205687,-0.628598094,0.00420419732,0.171884581,0.116196968,-0.306407452,-0.088693969,0.0216095336,0.890054047
-1.06238699,0.342198104,1.06238699,0.00173456082,0.0347474851,0.0200727135,0.454512417,0.606617868,0.0219333787,1.50265026
-0.902696252,0.344177127,0.902696252,0.00894453004,0.133197069,0.0816275626,-0.0121376943,0.619150877,0.0217649695,1.27820754
0.383111268,0.34529838,-0.383111268,0.00104744534,0.150273517,0.119417474,0.189128041,-0.286378086,0.0206899662,0.542551875
-0.380893052,0.346556246,0.380893052,0.0029895755,0.146989077,0.116792053,0.219714552,-0.268145323,0.0208370984,0.540727139
-0.0422118343,0.346650809,0.0422118269,0.0100302799,0.342384279,0.206860989,0.0626925454,0.0532740504,0.0198482182,0.0781540945
-0.644432664,0.3466838,0.644432664,0.00551251322,0.174547032,0.118918315,-0.324359477,-0.0640719309,0.021544477,0.912282765
0.639512956,0.346715242,-0.639513016,0.00461989641,0.173921436,0.11733944,-0.32482329,-0.0600315332,0.02162854,0.905244589
-0.602642,0.349728525,0.602642,0.00313551375,0.171658158,0.120196708,-0.246648431,-0.151250884,0.0214821491,0.853496075
-0.396941602,0.350320041,0.396941602,0.00244474062,0.149170369,0.118000522,0.191269323,-0.271606863,0.0209028684,0.562496126
-0.295276552,0.351331681,0.295276552,0.0016253792,0.154147834,0.122301571,0.358340144,-0.14423196,0.0203862693,0.417878836
1.07817209,0.35253799,-1.07817209,0.00285919383,0.0353210457,0.0199877713,0.466455698,0.597235918,0.0219875071,1.5267086
0.0283596274,0.353570998,-0.0283596255,0.00715187006,0.320763052,0.200075567,0.0852260441,0.061606016,0.0198471732,0.103904709
